Time,Voltage(CH1),Voltage(CH2)
4.136e-07,2.12,-0.028
4.144e-07,2.12,-0.024
4.152e-07,2.12,-0.028
4.16e-07,2.12,-0.028
4.168e-07,2.08,-0.028
4.1760000000000003e-07,2.12,-0.028
4.1840000000000004e-07,2.08,-0.028
4.192e-07,2.12,-0.028
4.2e-07,2.16,-0.028
4.208e-07,2.2,-0.032
4.216e-07,2.12,-0.024
4.224e-07,2.12,-0.028
4.2320000000000003e-07,2.12,-0.032
4.2400000000000004e-07,2.16,-0.028
4.248e-07,2.12,-0.024
4.256e-07,2.16,-0.028
4.264e-07,2.16,-0.028
4.272e-07,2.12,-0.028
4.28e-07,2.2,-0.032
4.2880000000000003e-07,2.2,-0.032
4.2960000000000004e-07,2.2,-0.024
4.304e-07,2.2,-0.024
4.312e-07,2.2,-0.024
4.32e-07,2.16,-0.028
4.328e-07,2.2,-0.028
4.336e-07,2.2,-0.028
4.344e-07,2.24,-0.028
4.3520000000000003e-07,2.24,-0.024
4.3600000000000004e-07,2.24,-0.028
4.368e-07,2.24,-0.024
4.376e-07,2.24,-0.028
4.384e-07,2.24,-0.028
4.392e-07,2.24,-0.028
4.4e-07,2.2800000000000002,-0.028
4.4080000000000003e-07,2.24,-0.028
4.4160000000000004e-07,2.24,-0.024
4.424e-07,2.2800000000000002,-0.024
4.432e-07,2.24,-0.028
4.44e-07,2.24,-0.028
4.448e-07,2.24,-0.028
4.456e-07,2.2800000000000002,-0.028
4.4640000000000003e-07,2.2800000000000002,-0.028
4.4720000000000003e-07,2.24,-0.028
4.4800000000000004e-07,2.2800000000000002,-0.032
4.488e-07,2.32,-0.028
4.496e-07,2.32,-0.028
4.504e-07,2.2800000000000002,-0.024
4.512e-07,2.2800000000000002,-0.028
4.52e-07,2.32,-0.028
4.5280000000000003e-07,2.32,-0.028
4.5360000000000004e-07,2.2800000000000002,-0.024
4.544e-07,2.32,-0.028
4.552e-07,2.32,-0.024
4.56e-07,2.32,-0.028
4.568e-07,2.36,-0.024
4.576e-07,2.32,-0.028
4.5840000000000003e-07,2.36,-0.032
4.5920000000000004e-07,2.36,-0.032
4.6000000000000004e-07,2.32,-0.024
4.608e-07,2.32,-0.028
4.616e-07,2.36,-0.02
4.624e-07,2.4,-0.028
4.632e-07,2.36,-0.024
4.64e-07,2.32,-0.028
4.6480000000000003e-07,2.32,-0.024
4.6560000000000004e-07,2.36,-0.028
4.664e-07,2.36,-0.024
4.672e-07,2.4,-0.028
4.68e-07,2.4,-0.028
4.688e-07,2.4,-0.028
4.696e-07,2.4,-0.024
4.7040000000000003e-07,2.4,-0.028
4.7120000000000004e-07,2.36,-0.032
4.72e-07,2.4,-0.032
4.728e-07,2.4,-0.032
4.736e-07,2.48,-0.028
4.744e-07,2.44,-0.032
4.752e-07,2.44,-0.028
4.7600000000000003e-07,2.44,-0.028
4.7680000000000003e-07,2.4,-0.024
4.776e-07,2.4,-0.028
4.784e-07,2.44,-0.028
4.792e-07,2.4,-0.028
4.800000000000001e-07,2.44,-0.028
4.808e-07,2.4,-0.028
4.816e-07,2.44,-0.028
4.824e-07,2.44,-0.028
4.832e-07,2.44,-0.028
4.84e-07,2.48,-0.028
4.848e-07,2.44,-0.032
4.856000000000001e-07,2.48,-0.024
4.864e-07,2.48,-0.032
4.872e-07,2.48,-0.024
4.88e-07,2.48,-0.028
4.888e-07,2.52,-0.024
4.896e-07,2.52,-0.028
4.904e-07,2.52,-0.032
4.912000000000001e-07,2.48,-0.028
4.92e-07,2.52,-0.028
4.928e-07,2.52,-0.032
4.936e-07,2.48,-0.028
4.944e-07,2.52,-0.032
4.952e-07,2.52,-0.028
4.96e-07,2.48,-0.028
4.968000000000001e-07,2.48,-0.032
4.976e-07,2.48,-0.028
4.984000000000001e-07,2.52,-0.024
4.992e-07,2.56,-0.028
5e-07,2.52,-0.028
5.008e-07,2.52,-0.032
5.016e-07,2.56,-0.036000000000000004
5.024e-07,2.52,-0.028
5.032e-07,2.52,-0.032
5.040000000000001e-07,2.56,-0.032
5.048e-07,2.56,-0.032
5.056e-07,2.56,-0.032
5.064e-07,2.56,-0.032
5.072e-07,2.56,-0.028
5.08e-07,2.6,-0.028
5.088e-07,2.56,-0.028
5.096000000000001e-07,2.56,-0.032
5.104e-07,2.6,-0.032
5.112e-07,2.6,-0.032
5.12e-07,2.56,-0.028
5.128e-07,2.56,-0.032
5.136e-07,2.56,-0.032
5.144e-07,2.56,-0.032
5.152000000000001e-07,2.56,-0.032
5.16e-07,2.6,-0.028
5.168e-07,2.64,-0.028
5.176e-07,2.6,-0.028
5.184e-07,2.6,-0.028
5.192e-07,2.64,-0.028
5.2e-07,2.64,-0.032
5.208000000000001e-07,2.6,-0.028
5.216e-07,2.64,-0.032
5.224e-07,2.64,-0.028
5.232e-07,2.6,-0.032
5.24e-07,2.64,-0.028
5.248e-07,2.64,-0.032
5.256e-07,2.64,-0.028
5.264000000000001e-07,2.68,-0.028
5.272e-07,2.68,-0.028
5.280000000000001e-07,2.68,-0.032
5.288e-07,2.68,-0.024
5.296e-07,2.64,-0.028
5.304e-07,2.68,-0.02
5.312e-07,2.72,-0.028
5.32e-07,2.68,-0.024
5.328e-07,2.68,-0.028
5.336000000000001e-07,2.68,-0.036000000000000004
5.344e-07,2.64,-0.032
5.352e-07,2.68,-0.032
5.36e-07,2.64,-0.032
5.368e-07,2.68,-0.032
5.376e-07,2.72,-0.032
5.384e-07,2.72,-0.024
5.392000000000001e-07,2.72,-0.032
5.4e-07,2.72,-0.032
5.408e-07,2.72,-0.032
5.416e-07,2.72,-0.036000000000000004
5.424e-07,2.72,-0.04
5.432e-07,2.72,-0.036000000000000004
5.44e-07,2.68,-0.04
5.448000000000001e-07,2.7600000000000002,-0.036000000000000004
5.456e-07,2.68,-0.044
5.464e-07,2.72,-0.044
5.472e-07,2.72,-0.04
5.48e-07,2.68,-0.044
5.488e-07,2.72,-0.048
5.496e-07,2.7600000000000002,-0.04
5.504000000000001e-07,2.72,-0.044
5.512e-07,2.7600000000000002,-0.044
